,A,B,R_val,R_z_score,R_p_val
1041,CD8_TRM,Macro_CHIT1,0.32756401343621727,88.72716251880283,0.0
1097,Chondrocyte,Fibro_alveolar,0.3272579663173675,88.6442636308336,0.0
1921,Endothelia_vascular_venous_pulmonary,NK_CD11d,0.32724464160403843,88.64065436987524,0.0
2796,Macrophage_intermediate,NK_CD56bright,0.32713239092763235,88.61024906404249,0.0
1534,Dividing_AT2,Megakaryocyte,0.3268427318535639,88.5317892006701,0.0
2597,Macro_alv,T_reg,0.32683624144561607,88.53003114588637,0.0
2215,Fibro_peribronchial,ILC,0.32681214095393224,88.52350305319395,0.0
847,CD8_EM,Macro_alv,0.32670859474711833,88.49545552433446,0.0
1291,DC_2,Macro_CHIT1,0.3261188849862803,88.33572102468683,0.0
1112,Chondrocyte,Macro_CCL,0.3258108291988831,88.25227804929244,0.0
1488,Deuterosomal,Myoepithelial,0.3257228491589677,88.22844692322307,0.0
1214,DC_1,Endothelia_vascular_Cap_a,0.3257046657498625,88.2235215888498,0.0
212,B_memory,Muscle_perivascular_immune_recruiting,0.3255849571587569,88.19109615998019,0.0
3094,Neuroendocrine,SMG_Basal,0.32548758326686,88.16472052414403,0.0
120,AT2,Macro_AW_CX3CR1,0.324902122806591,88.00613703122093,0.0
985,CD8_TRM_EM,Megakaryocyte,0.32488151807851834,88.00055583493146,0.0
852,CD8_EM,Megakaryocyte,0.3244510585533626,87.88395739713116,0.0
980,CD8_TRM_EM,Macro_alv,0.324423365618657,87.87645622051387,0.0
1437,DC_plasmacytoid,Neuroendocrine,0.32418128403304625,87.81088365665386,0.0
2702,Mast_cell,Muscle_pericyte_parenchyma,0.3238203143159993,87.71310790157986,0.0
2752,Megakaryocyte,T_reg,0.3236840809742939,87.67620641865086,0.0
1870,Endothelia_vascular_arterial_systemic,NKT,0.3236189033573839,87.65855177781441,0.0
2742,Megakaryocyte,Neuroendocrine,0.3234850406119362,87.62229241755699,0.0
1121,Chondrocyte,Muscle_pericyte_parenchyma,0.32331930410913845,87.57739942255192,0.0
1797,Endothelia_vascular_arterial_pulmonary,Macro_AW_CX3CR1,0.3229104138166203,87.46664343609284,0.0
1538,Dividing_AT2,Monocyte_CD16,0.32268061606432313,87.40439819034489,0.0
710,CD4_TRM,Macro_alv,0.32252962156947157,87.36349835845066,0.0
897,CD8_EM_EMRA,Endothelia_vascular_arterial_systemic,0.3225235469225782,87.36185292073453,0.0
2571,Macro_alv,Macrophage_intermediate,0.3224663917094355,87.34637130591332,0.0
1745,Endothelia_vascular_Cap_g,Macro_AW_CX3CR1,0.3220773092094774,87.24098065006912,0.0
1997,Erythrocyte,Macro_alv,0.32204816166494615,87.23308546374044,0.0
1996,Erythrocyte,Macro_alveolar_metallothioneins,0.3219416830771117,87.20424364174524,0.0
1360,DC_activated,Megakaryocyte,0.321934246116384,87.2022291945042,0.0
1601,Dividing_Basal,Myoepithelial,0.32184641623922144,87.17843874297303,0.0
2813,Monocyte_CD14,Muscle_perivascular_immune_recruiting,0.3217004211970324,87.13889311126776,0.0
2273,Fibro_perichondrial,Monocyte_CD16,0.32153218351983764,87.09332262393109,0.0
245,B_naive,Chondrocyte,0.32150202921994225,87.08515473808981,0.0
1731,Endothelia_vascular_Cap_g,Endothelia_vascular_venous_pulmonary,0.32125614730197904,87.01855277938654,0.0
2220,Fibro_peribronchial,Macro_AW_CX3CR1,0.321134662430876,86.98564621010605,0.0
42,AT1,Macro_AW_CX3CR1,0.3210901705550814,86.97359470953678,0.0
812,CD4_naive_CM,T_reg,0.3208576929449568,86.91062357153196,0.0
1999,Erythrocyte,Macro_int,0.32072434524772975,86.874503722226,0.0
21,AT1,Dividing_AT2,0.3204596705863915,86.80281137896516,0.0
499,B_plasmablast,Macro_int,0.320404383196648,86.7878357008876,0.0
1416,DC_plasmacytoid,Macro_int,0.3203945626186654,86.7851756039815,0.0
1509,Dividing_AT2,Endothelia_vascular_Cap_a,0.32033099523631114,86.76795712687874,0.0
1692,Endothelia_vascular_Cap_a,Macro_AW_CX3CR1,0.32025784725130246,86.74814355491245,0.0
645,CD4_EM_Effector,Megakaryocyte,0.3202228257368005,86.73865728816332,0.0
1300,DC_2,Megakaryocyte,0.32014610813835376,86.71787681611443,0.0
1541,Dividing_AT2,Muscle_pericyte_parenchyma,0.32005623616009005,86.69353322129263,0.0
1517,Dividing_AT2,Fibro_alveolar,0.320047829723671,86.69125617247236,0.0
1510,Dividing_AT2,Endothelia_vascular_Cap_g,0.3196305152974958,86.57821834354768,0.0
1083,Chondrocyte,DC_activated,0.3195907788299094,86.56745493892188,0.0
1884,Endothelia_vascular_arterial_systemic,gdT,0.3192935662274161,86.48694905365255,0.0
2536,Macro_alveolar_metallothioneins,Mesothelia,0.31917829238624784,86.45572486412021,0.0
1845,Endothelia_vascular_arterial_systemic,MAIT,0.3190397701760004,86.41820339608056,0.0
3070,NK_CD11d,Neuroendocrine,0.3189427126068068,86.39191344247673,0.0
1355,DC_activated,Macro_alv,0.31847422030418693,86.2650130780646,0.0
1803,Endothelia_vascular_arterial_pulmonary,Mast_cell,0.31838778139489243,86.24159939756755,0.0
1552,Dividing_AT2,Neuroendocrine,0.3183274813958415,86.22526595556472,0.0
1526,Dividing_AT2,Macro_interstitial,0.31830746380110375,86.2198437958992,0.0
2500,Macro_AW_CX3CR1,Megakaryocyte,0.31822816695544737,86.19836468396021,0.0
1318,DC_2,Neuroendocrine,0.31782320797991437,86.08867357211113,0.0
2090,Fibro_alveolar,Macro_alv,0.3177838761760829,86.07801977863087,0.0
2268,Fibro_perichondrial,Mast_cell,0.3174092575046204,85.97654693551618,0.0
1821,Endothelia_vascular_arterial_pulmonary,NK_CD56bright,0.31727846689464556,85.94111972363955,0.0
144,AT2,NK_CD56bright,0.3166475143139723,85.77021379420064,0.0
1843,Endothelia_vascular_arterial_systemic,ILC,0.31662982185113164,85.76542144228947,0.0
2738,Megakaryocyte,NK_CD16hi,0.3165725237586851,85.74990112579563,0.0
1537,Dividing_AT2,Monocyte_CD14,0.31640531857904175,85.70461031074983,0.0
701,CD4_TRM,Fibro_peribronchial,0.3164032927382023,85.70406157187124,0.0
2178,Fibro_myofibroblast,Macro_alveolar_metallothioneins,0.31605740509225866,85.61037109270978,0.0
1948,Endothelia_vascular_venous_systemic,Macro_alveolar_metallothioneins,0.31587373852589123,85.56062138695792,0.0
1090,Chondrocyte,Endothelia_vascular_Cap_g,0.3156358521983762,85.49618519135446,0.0
623,CD4_EM_Effector,Endothelia_vascular_arterial_systemic,0.3156349882416764,85.49595117167169,0.0
1678,Endothelia_vascular_Cap_a,Endothelia_vascular_venous_pulmonary,0.3154989669826858,85.45910713552173,0.0
1838,Endothelia_vascular_arterial_systemic,Fibro_alveolar,0.31521306261088866,85.38166430718668,0.0
28,AT1,Endothelia_vascular_venous_pulmonary,0.3151751970418428,85.37140767226713,0.0
1869,Endothelia_vascular_arterial_systemic,NK_CD16hi,0.3151229065599594,85.35724376569026,0.0
1283,DC_2,Fibro_alveolar,0.3148334927247342,85.27885033008712,0.0
1694,Endothelia_vascular_Cap_a,Macro_alv,0.3143220910015851,85.14032710427165,0.0
1307,DC_2,Muscle_pericyte_parenchyma,0.31427697832853646,85.12810744854313,0.0
1130,Chondrocyte,NK_CD11d,0.3142000639082004,85.10727366341023,0.0
2444,Macro_CHIT1,NK_CD56bright,0.3141309745646416,85.08855945439213,0.0
2423,Macro_CHIT1,Macro_dividing,0.3140436580771764,85.06490806456871,0.0
1889,Endothelia_vascular_venous_pulmonary,Fibro_immune_recruiting,0.31377369592332593,84.99178349985435,0.0
